Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
smartphone-oppo-a5x-cph2725-azul-4-128gb,Smartphone Oppo A5X CPH2725 AZUL 4/128GB,color,Azul,,,,,6932169370233,,,Sucursal Chalchuapa,,0,0,0,0,0,
smartphone-oppo-a5x-cph2725-azul-4-128gb,Smartphone Oppo A5X CPH2725 AZUL 4/128GB,color,Azul,,,,,6932169370233,,,Sucursal Santa Ana Independencia,,not stocked,not stocked,not stocked,not stocked,not stocked,
smartphone-oppo-a5x-cph2725-azul-4-128gb,Smartphone Oppo A5X CPH2725 AZUL 4/128GB,color,Azul,,,,,6932169370233,,,Sucursal Santa Ana Zarzamora,,not stocked,not stocked,not stocked,not stocked,not stocked,
audifono-razer-blackshark-v2-x-rz04-03240700-r3u1,Audifono Razer BlackShark V2 X RZ04-03240700-R3U1,Color,Black,,,,,RZ04-03240700-R3U1 BK,,,Sucursal Chalchuapa,,0,0,0,-1,-1,
audifono-razer-blackshark-v2-x-rz04-03240700-r3u1,Audifono Razer BlackShark V2 X RZ04-03240700-R3U1,Color,Black,,,,,RZ04-03240700-R3U1 BK,,,Sucursal Santa Ana Independencia,,not stocked,not stocked,not stocked,not stocked,not stocked,
audifono-razer-blackshark-v2-x-rz04-03240700-r3u1,Audifono Razer BlackShark V2 X RZ04-03240700-R3U1,Color,Black,,,,,RZ04-03240700-R3U1 BK,,,Sucursal Santa Ana Zarzamora,,not stocked,not stocked,not stocked,not stocked,not stocked,
mouse-wireless-bluetooth-logitech-g309-lightspeed-bk-910-007197,Mouse Wireless/Bluetooth LOGITECH G309 LIGHTSPEED BK 910-007197,color,negro,,,,,LOG-910-007197-B BK,,,Sucursal Chalchuapa,,0,0,0,-1,-1,
mouse-wireless-bluetooth-logitech-g309-lightspeed-bk-910-007197,Mouse Wireless/Bluetooth LOGITECH G309 LIGHTSPEED BK 910-007197,color,negro,,,,,LOG-910-007197-B BK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
mouse-wireless-bluetooth-logitech-g309-lightspeed-bk-910-007197,Mouse Wireless/Bluetooth LOGITECH G309 LIGHTSPEED BK 910-007197,color,negro,,,,,LOG-910-007197-B BK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
case-lian-li-011-vision-negro,Case LIAN LI 011 VISION - NEGRO,Title,Default Title,,,,,G99.O11VX.00,,,Sucursal Chalchuapa,,0,0,0,1,1,
case-lian-li-011-vision-negro,Case LIAN LI 011 VISION - NEGRO,Title,Default Title,,,,,G99.O11VX.00,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
case-lian-li-011-vision-negro,Case LIAN LI 011 VISION - NEGRO,Title,Default Title,,,,,G99.O11VX.00,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
case-deepcool-cg530-4f-media-torre-de-ventiladores-4-de-120mm-con-vidrio-lateral-y-frontal-r-cg530-bkada4-g-1-color-negro,Case DEEPCOOL CG530 4F Media Torre de Ventiladores 4 de 120mm con Vidrio Lateral y Frontal R-CG530-BKADA4-G-1  color Negro,color,Negro,,,,,CG530-BK,,,Sucursal Chalchuapa,,0,0,0,0,0,
case-deepcool-cg530-4f-media-torre-de-ventiladores-4-de-120mm-con-vidrio-lateral-y-frontal-r-cg530-bkada4-g-1-color-negro,Case DEEPCOOL CG530 4F Media Torre de Ventiladores 4 de 120mm con Vidrio Lateral y Frontal R-CG530-BKADA4-G-1  color Negro,color,Negro,,,,,CG530-BK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
case-deepcool-cg530-4f-media-torre-de-ventiladores-4-de-120mm-con-vidrio-lateral-y-frontal-r-cg530-bkada4-g-1-color-negro,Case DEEPCOOL CG530 4F Media Torre de Ventiladores 4 de 120mm con Vidrio Lateral y Frontal R-CG530-BKADA4-G-1  color Negro,color,Negro,,,,,CG530-BK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
pasta-termica-aerocool-1gr,Pasta Térmica AeroCool 1gr,Title,Default Title,,,,,aerocool 1gr,,,Sucursal Chalchuapa,,0,0,0,4,4,
pasta-termica-aerocool-1gr,Pasta Térmica AeroCool 1gr,Title,Default Title,,,,,aerocool 1gr,,,Sucursal Santa Ana Independencia,,0,0,0,3,3,
pasta-termica-aerocool-1gr,Pasta Térmica AeroCool 1gr,Title,Default Title,,,,,aerocool 1gr,,,Sucursal Santa Ana Zarzamora,,0,0,0,5,5,
pasta-termica-corsair-tm30-3gr,Pasta Térmica CORSAIR TM30 3gr,Title,Default Title,,,,,corsair 3gr,,,Sucursal Chalchuapa,,0,0,0,1,1,
pasta-termica-corsair-tm30-3gr,Pasta Térmica CORSAIR TM30 3gr,Title,Default Title,,,,,corsair 3gr,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
pasta-termica-corsair-tm30-3gr,Pasta Térmica CORSAIR TM30 3gr,Title,Default Title,,,,,corsair 3gr,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
impresora-plotter-hp-designjet-t250-24-impresion-color-wi-fi-usb-ethernet,"Impresora Plotter HP DesignJet T250 24, Impresión Color, Wi‑Fi, USB, Ethernet",Title,Default Title,,,,,5HB06D,,,Sucursal Chalchuapa,,0,0,0,1,1,
impresora-plotter-hp-designjet-t250-24-impresion-color-wi-fi-usb-ethernet,"Impresora Plotter HP DesignJet T250 24, Impresión Color, Wi‑Fi, USB, Ethernet",Title,Default Title,,,,,5HB06D,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
